,precision,recall,f1-score,support
CAD设计,0.6153846153846154,0.1807909604519774,0.2794759825327511,177.0
Java开发工程师,0.0,0.0,0.0,126.0
WEB前端开发,0.3807531380753138,0.8272727272727273,0.5214899713467048,110.0
Web前端开发,0.0,0.0,0.0,77.0
专业顾问,0.625,0.07853403141361257,0.13953488372093023,191.0
专车司机,0.0,0.0,0.0,123.0
中学教师,0.2560386473429952,0.8368421052631579,0.39210850801479663,190.0
主管,0.43327092805562983,0.5783648696893966,0.4954128440366972,2801.0
互联网软件开发工程师,0.0,0.0,0.0,75.0
产品工艺,0.5892857142857143,0.44,0.5038167938931297,75.0
人事专员,0.0,0.0,0.0,289.0
人事主管,0.0,0.0,0.0,102.0
人事助理,0.0,0.0,0.0,117.0
人事经理,0.0,0.0,0.0,91.0
人力资源主管,0.0,0.0,0.0,94.0
人力资源经理,0.2647058823529412,0.4945054945054945,0.3448275862068966,91.0
仓库,0.0,0.0,0.0,122.0
仓库管理员,0.7361376673040153,0.7319391634980988,0.7340324118207817,526.0
会籍顾问,0.7636363636363637,0.38181818181818183,0.509090909090909,110.0
会计,0.666882276843467,0.8804440649017934,0.7589252852410747,1171.0
会计助理,0.5392491467576792,0.5602836879432624,0.5495652173913044,282.0
传菜员,0.9629629629629629,0.6341463414634146,0.7647058823529412,123.0
保姆,0.8428571428571429,0.9007633587786259,0.8708487084870847,131.0
保安,0.8285939968404423,0.9441944194419442,0.8826251577618847,1111.0
保洁,0.9,0.8933002481389578,0.8966376089663762,403.0
保险内勤,0.7368421052631579,0.11764705882352941,0.20289855072463767,119.0
信用卡,0.4782608695652174,0.14102564102564102,0.21782178217821782,78.0
信用卡销售,0.6,0.04,0.075,75.0
健身教练,0.7415730337078652,0.868421052631579,0.8,152.0
储备干部,0.5364583333333334,0.37184115523465705,0.43923240938166314,277.0
储备经理人,0.875,0.058823529411764705,0.11023622047244094,119.0
内勤人员,0.0,0.0,0.0,96.0
出纳,0.64,0.5925925925925926,0.6153846153846153,162.0
出纳员,0.6826923076923077,0.7195945945945946,0.7006578947368421,296.0
分拣员,0.6923076923076923,0.34177215189873417,0.4576271186440678,158.0
切割,0.906832298136646,0.776595744680851,0.836676217765043,188.0
初中教师,0.0,0.0,0.0,142.0
制作,0.6363636363636364,0.26344086021505375,0.37262357414448666,186.0
助理,0.5163537250151423,0.7775919732441472,0.6206017956806601,6578.0
包装工,0.8461538461538461,0.11224489795918367,0.1981981981981982,98.0
化妆师,0.6521739130434783,0.8333333333333334,0.7317073170731708,90.0
